instance_id,attribute_id
0,218
1,159
1,204
1,205
2,159
2,205
5,163
6,115
6,137
6,145
6,148
6,149
6,225
6,295
6,316
6,317
7,160
7,204
8,163
9,160
9,204
10,106
10,115
10,128
10,135
10,140
10,149
10,295
10,302
10,316
10,317
11,115
11,137
11,145
11,149
11,151
11,225
11,295
11,316
11,317
14,162
14,163
15,224
16,224
17,224
18,160
18,204
18,214
19,160
19,204
19,214
20,103
20,115
20,127
20,128
20,133
20,145
20,149
20,225
20,295
20,316
20,317
25,102
25,115
25,128
25,142
25,295
25,301
25,316
25,317
25,325
29,179
29,200
32,36
32,115
32,128
32,136
32,154
32,230
32,295
32,298
32,317
33,223
34,223
35,114
35,115
35,135
35,142
35,145
35,147
35,225
35,295
35,316
35,317
36,160
36,204
37,160
37,204
39,112
39,151
39,152
39,295
39,309
39,316
39,317
40,182
42,160
42,204
45,162
46,160
46,204
47,160
52,81
52,115
52,136
52,145
52,151
52,225
52,295
52,311
52,316
52,317
53,13
53,115
53,135
53,142
53,146
53,295
53,316
53,317
54,200
57,81
57,115
57,136
57,142
57,147
57,148
57,229
57,295
57,311
57,316
57,317
58,160
58,204
62,218
62,224
63,160
63,204
64,115
64,136
64,145
64,146
64,295
64,305
64,312
64,317
65,185
65,186
69,179
71,104
71,115
71,119
71,141
71,149
71,295
71,316
71,319
76,115
76,135
76,316
76,317
77,200
78,115
78,128
78,145
78,149
78,300
78,317
79,160
79,204
80,160
80,204
81,174
87,38
87,115
87,135
87,154
87,230
87,295
87,316
87,317
88,17
88,137
88,145
88,149
88,295
88,316
88,322
90,160
90,204
91,115
91,138
91,145
91,149
91,225
91,289
91,316
91,317
93,160
93,205
94,160
94,205
97,115
97,131
97,137
97,154
97,295
97,316
97,327
100,184
101,112
101,115
101,130
101,155
101,295
101,304
101,317
104,160
104,204
105,115
105,116
105,295
105,317
106,204
107,20
107,115
107,135
107,141
107,146
107,229
107,316
107,317
108,162
114,38
114,115
114,135
114,154
114,230
114,295
114,316
114,317
115,20
115,115
115,136
115,142
115,147
115,229
115,289
115,316
115,317
116,160
116,204
117,160
117,204
118,173
120,218
121,218
122,38
122,115
122,135
122,153
122,295
122,316
122,317
124,115
124,135
124,139
124,147
124,283
124,312
124,317
128,188
130,10
130,115
130,135
130,139
130,146
130,295
130,316
130,317
131,187
132,204
133,44
133,115
133,128
133,136
133,141
133,154
133,230
133,295
133,316
133,317
134,160
134,204
135,17
135,142
135,146
135,225
135,295
135,317
140,102
140,103
140,115
140,127
140,128
140,141
140,145
140,150
140,295
140,316
140,317
142,157
142,204
143,157
143,204
144,108
144,115
144,120
144,139
144,155
144,295
144,305
144,318
144,333
147,188
148,188
149,182
150,95
150,114
150,128
150,141
150,150
150,295
150,316
150,317
151,10
151,115
151,135
151,141
151,146
151,316
151,317
155,3
155,115
155,136
155,142
155,146
155,295
155,316
155,328
156,183
157,157
157,207
158,157
158,207
159,115
159,129
159,143
159,149
159,295
159,298
159,317
165,68
165,128
165,142
165,152
165,295
165,309
165,317
166,167
167,157
167,204
168,114
168,145
168,151
168,295
168,305
168,317
169,102
169,115
169,127
169,150
169,295
169,305
169,317
170,115
170,137
170,295
170,316
170,317
171,160
171,213
172,160
172,213
173,188
174,192
179,36
179,115
179,128
179,136
179,154
179,230
179,295
179,298
179,314
179,317
180,20
180,115
180,136
180,145
180,146
180,147
180,229
180,283
180,311
180,316
180,317
181,160
181,204
182,160
182,204
183,162
184,219
186,222
192,223
194,115
194,136
194,142
194,146
194,295
194,316
194,317
194,328
195,183
196,157
196,207
197,157
197,207
198,64
198,115
198,126
198,142
198,153
198,225
198,295
198,316
198,317
201,194
203,160
203,209
204,160
204,209
205,15
205,115
205,137
205,145
205,146
205,295
205,305
205,312
205,317
205,328
223,36
223,115
223,128
223,136
223,142
223,230
223,295
223,298
223,317
224,38
224,115
224,125
224,137
224,154
224,230
224,295
224,316
224,317
225,19
225,136
225,142
225,147
225,289
225,295
225,317
226,160
226,204
227,204
230,218
231,162
232,160
232,205
233,160
233,205
234,137
234,145
234,147
234,295
234,324
235,52
235,115
235,136
235,142
235,149
235,295
235,316
235,317
236,222
237,222
240,115
240,125
240,132
240,142
240,143
240,154
240,295
240,316
240,317
243,160
243,204
244,160
244,204
245,200
246,17
246,115
246,136
246,142
246,147
246,229
246,295
246,311
246,316
246,317
248,178
249,98
249,115
249,129
249,139
249,295
249,308
249,317
250,185
252,17
252,136
252,145
252,229
252,295
252,316
252,317
253,216
254,160
254,216
255,178
256,219
257,218
257,224
258,218
258,224
260,174
261,115
261,136
261,225
261,295
261,316
261,317
261,328
262,163
264,17
264,115
264,135
264,136
264,142
264,145
264,147
264,225
264,281
264,295
264,311
264,316
264,317
264,318
265,160
265,204
266,160
266,204
267,160
267,204
268,160
268,204
273,65
273,77
273,115
273,118
273,129
273,142
273,149
273,295
273,316
273,317
274,115
274,135
274,142
274,146
274,295
274,316
274,317
275,160
275,204
276,160
276,204
277,168
277,172
282,163
286,157
286,204
286,209
287,113
287,115
287,117
287,119
287,149
287,295
287,305
287,317
289,3
289,115
289,136
289,145
289,147
289,295
289,316
289,317
290,218
291,164
292,22
292,115
292,136
292,145
292,146
292,229
292,295
292,316
292,317
293,162
294,160
294,204
295,160
295,204
296,36
296,128
296,136
296,142
296,154
296,230
296,295
296,298
296,317
297,223
298,223
301,218
302,218
303,96
303,115
303,128
303,150
303,295
303,316
303,317
305,92
305,115
305,136
305,142
305,153
305,283
305,289
305,311
305,314
305,317
306,160
306,204
307,160
307,204
308,177
322,192
331,160
331,204
332,160
332,204
333,28
333,136
333,142
333,147
333,226
333,295
333,316
333,317
336,65
336,115
336,118
336,149
336,295
336,316
341,160
341,204
342,20
342,135
342,142
342,146
342,229
342,312
342,317
346,36
346,115
346,128
346,136
346,154
346,230
346,295
346,297
346,298
346,317
349,160
349,204
350,222
353,218
354,115
354,136
354,146
354,317
355,80
355,115
355,136
355,145
355,149
355,225
355,229
355,289
355,311
355,317
357,95
357,115
357,128
357,145
357,149
357,283
357,314
357,327
358,170
364,182
365,223
366,223
368,8
368,115
368,135
368,141
368,146
368,295
368,301
368,317
370,115
370,127
370,142
370,149
370,230
370,295
370,297
370,298
370,317
374,160
374,204
375,160
375,204
378,18
378,136
378,145
378,226
378,295
378,316
378,317
382,115
382,128
382,136
382,142
382,154
382,230
382,295
382,316
382,317
383,160
383,204
384,160
384,204
385,115
385,136
385,225
385,295
385,316
385,322
386,163
387,219
388,219
389,219
391,17
391,115
391,136
391,142
391,147
391,225
391,295
391,316
391,317
392,160
392,204
393,160
393,204
394,175
395,115
395,135
395,142
395,229
395,295
395,316
395,317
399,160
399,204
400,160
400,204
402,115
402,136
402,146
402,295
402,316
402,317
403,173
404,68
404,115
404,127
404,141
404,150
404,229
404,295
404,316
404,326
404,331
405,115
405,139
405,147
405,295
405,305
405,317
406,157
406,207
408,50
408,115
408,136
408,148
408,295
408,316
408,317
413,53
413,115
413,137
413,142
413,150
413,230
413,295
413,316
413,317
414,115
414,136
414,146
414,295
414,317
415,160
415,204
416,160
416,204
417,224
418,224
419,181
420,217
421,17
421,115
421,136
421,142
421,147
421,225
421,295
421,316
421,317
422,174
423,217
424,10
424,115
424,135
424,141
424,146
424,295
424,316
424,326
425,114
425,133
425,141
425,155
425,229
425,295
425,316
428,191
429,11
429,115
429,137
429,145
429,146
429,295
429,316
429,317
430,185
431,42
431,115
431,126
431,136
431,142
431,153
431,230
431,295
431,316
431,317
432,217
433,217
434,222
439,222
440,137
440,141
440,146
440,295
440,298
440,317
441,108
441,115
441,130
441,141
441,155
441,295
441,302
441,317
442,200
443,224
444,224
445,204
446,204
447,50
447,115
447,135
447,148
447,230
447,295
447,298
447,317
448,115
448,136
448,142
448,147
448,225
448,295
448,298
448,317
449,115
449,136
449,146
449,295
449,301
449,317
454,160
454,204
455,160
455,204
456,115
456,128
456,149
456,295
456,316
456,317
457,190
460,98
460,115
460,128
460,145
460,148
460,295
460,316
460,317
464,90
464,115
464,136
464,145
464,225
464,295
464,316
464,323
465,160
