instance_id,image_id,category_id,area,bbox_x,bbox_y,bbox_w,bbox_h
0,16305,32,3052,454.0,390.0,46.0,109.0
1,16305,31,12906,271.0,133.0,98.0,223.0
2,16305,31,5794,482.0,323.0,74.0,169.0
3,16305,22,3838,322.0,658.0,208.0,112.0
4,16305,22,9415,405.0,749.0,97.0,213.0
5,16305,28,1054,365.0,261.0,111.0,71.0
6,16305,0,78456,271.0,133.0,285.0,518.0
7,18875,31,12227,182.0,214.0,78.0,295.0
8,18875,28,1204,278.0,161.0,113.0,41.0
9,18875,31,10159,411.0,210.0,72.0,320.0
10,18875,10,18614,260.0,257.0,171.0,325.0
11,18875,0,73594,182.0,161.0,301.0,495.0
12,18875,23,1531,354.0,809.0,36.0,118.0
13,18875,23,1611,306.0,884.0,52.0,79.0
14,20443,28,651,288.0,263.0,53.0,38.0
15,20443,32,350,244.0,332.0,43.0,25.0
16,20443,32,452,329.0,330.0,52.0,25.0
17,20443,32,1112,313.0,419.0,48.0,29.0
18,20443,31,8723,377.0,296.0,59.0,237.0
19,20443,31,3758,206.0,312.0,42.0,237.0
20,20443,10,60355,206.0,264.0,230.0,403.0
21,20443,21,7852,239.0,667.0,49.0,196.0
22,20443,21,4912,286.0,693.0,52.0,137.0
23,20443,23,3748,259.0,850.0,42.0,103.0
24,20443,23,1417,287.0,803.0,42.0,81.0
25,15157,10,55566,254.0,565.0,219.0,458.0
26,15157,13,608,334.0,388.0,43.0,41.0
27,15157,19,3090,230.0,852.0,172.0,113.0
28,15157,24,6092,309.0,591.0,178.0,432.0
29,15157,33,1499,332.0,565.0,117.0,64.0
30,15165,23,2752,224.0,890.0,63.0,65.0
31,15165,23,3037,382.0,882.0,105.0,59.0
32,15165,6,45945,238.0,544.0,213.0,354.0
33,15165,32,277,256.0,544.0,40.0,34.0
34,15165,32,148,424.0,555.0,27.0,21.0
35,15165,0,77612,204.0,215.0,297.0,352.0
36,15165,31,10927,435.0,268.0,66.0,282.0
37,15165,31,12995,204.0,259.0,78.0,289.0
38,15165,27,6416,301.0,215.0,127.0,180.0
39,15567,10,45033,196.0,249.0,274.0,486.0
